season,season_type,game_type,team,week,gsis_id,position,player_name,first_name,last_name,injury_type,report_secondary_injury,status,practice_primary_injury,practice_secondary_injury,practice_participation,scraped_at,source
2026,REG,REG,ARI,1,00-0034381,LB,Josh Sweat,Josh,Sweat,,,Full,Not injury related - resting player,Knee,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ARI,1,00-0035859,P,Blake Gillikin,Blake,Gillikin,,,Full,Groin,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ARI,1,00-0039007,CB,Garrett Williams,Garrett,Williams,Achilles,,Out,Achilles,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ARI,1,00-0039808,G,Isaiah Adams,Isaiah,Adams,Knee,,Out,Knee,,DNP,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ARI,1,00-0039864,S,Dadrion Taylor-Demerson,Dadrion,Taylor-Demerson,Ribs,,Out,Ribs,,DNP,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ARI,1,00-0040751,CB,Will Johnson,William,Johnson,,,Full,Ankle,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ARI,1,00-0041027,RB,Jeremiyah Love,Jeremiyah,Love,Ankle,,Questionable,Ankle,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ATL,1,00-0031279,T,Jake Matthews,Jacob,Matthews,,,DNP,Not injury related - resting player,,DNP,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ATL,1,00-0031576,DE,Za'Darius Smith,Za'Darius,Smith,Shoulder,,Questionable,Shoulder,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ATL,1,00-0034371,DT,Da'Shawn Hand,Da'Shawn,Hand,,,Full,Knee,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ATL,1,00-0035237,T,Jawaan Taylor,Jawaan,Taylor,,,Full,Knee,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ATL,1,00-0036212,QB,Tua Tagovailoa,Tuanigamanuolepola,Tagovailoa,Oblique,,Out,Oblique,,DNP,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ATL,1,00-0036354,G,Kyle Hinton,Kyle,Hinton,,,Full,Knee,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ATL,1,00-0039859,DT,Brandon Dorlus,Brandon,Dorlus,,,Full,Groin,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ATL,1,00-0039917,QB,Michael Penix Jr.,Michael,Penix,Knee,,Out,Knee,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ATL,1,00-0040156,CB,Billy Bowman Jr.,Billy,Bowman,Achilles,,Out,Achilles,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ATL,1,00-0040687,T,Cameron Williams,Cameron,Williams,Ankle,,Out,Ankle,,DNP,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ATL,1,00-0041044,WR,Zachariah Branch,Zachariah,Branch,,,Full,Hamstring,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,ATL,1,00-0041066,LB,Kendal Daniels,Kendal,Daniels,,,Full,Achilles,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,BAL,1,00-0026190,DE,Calais Campbell,Calais,Campbell,,,DNP,Not injury related - resting player,,DNP,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,BAL,1,00-0036130,DT,Nnamdi Madubuike,Justin,Madubuike,Neck,,Out,Neck,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,BAL,1,00-0039064,WR,Zay Flowers,Xavien,Flowers,,,Full,Hamstring,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,BAL,1,00-0039792,WR,Devontez Walker,Devontez,Walker,Groin,,Questionable,Groin,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,BAL,1,00-0040069,LB,Teddye Buchanan,Teddye,Buchanan,Knee,,Out,Knee,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,BUF,1,00-0035537,RB,Ty Johnson,Ty,Johnson,Hamstring,,Questionable,Hamstring,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,BUF,1,00-0040192,CB,Jordan Hancock,Jordan,Hancock,Quadricep,,Questionable,Quadricep,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,BUF,1,00-0040724,DE,T.J. Sanders,Tanaeri,Sanders,Knee,,Questionable,Knee,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CAR,1,00-0036903,DT,Bobby Brown III,Bobby,Brown,,,Full,Back,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CAR,1,00-0037007,LB,Patrick Jones II,Patrick,Jones,Back,,Out,Back,,DNP,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CAR,1,00-0039344,RB,Jonathon Brooks,Jonathon,Brooks,,,Full,Groin,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CHI,1,00-0031583,DT,Grady Jarrett,Grady,Jarrett,,,Full,Not injury related - resting player,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CHI,1,00-0032391,G,Joe Thuney,Joseph,Thuney,,,Full,Not injury related - resting player,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CHI,1,00-0033579,S,Xavier Woods,Xavier,Woods,Groin,,Questionable,Groin,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CHI,1,00-0038416,QB,Tyson Bagent,Tyson,Bagent,Back,,Questionable,Back,,DNP,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CHI,1,00-0039919,WR,Rome Odunze,Rome,Odunze,Calf,,Questionable,Calf,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CHI,1,00-0040740,T,Ozzy Trapilo,Ozzy,Trapilo,Knee,,Questionable,Knee,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CIN,1,00-0033523,DT,Jonathan Allen,Jonathan,Allen,,,Full,Not injury related - resting player,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CIN,1,00-0034800,DT,B.J. Hill,Bobby,Hill,,,Full,Not injury related - resting player,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CIN,1,00-0035683,DT,Dexter Lawrence,Dexter,Lawrence,,,DNP,Not injury related - resting player,,DNP,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CIN,1,00-0036410,WR,Tee Higgins,Tamurice,Higgins,,,Full,Foot,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CIN,1,00-0036900,WR,Ja'Marr Chase,Ja'Marr,Chase,,,DNP,Knee,Not injury related - resting player,DNP,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CIN,1,00-0038549,CB,DJ Turner II,DJ,Turner,,,Limited,Hamstring,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CIN,1,00-0040756,DE,Shemar Stewart,Shemar,Stewart,Knee,,Doubtful,Knee,,DNP,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CLE,1,00-0033131,DT,Maliek Collins,Maliek,Collins,,,Limited,Quadricep,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CLE,1,00-0036953,G,Teven Jenkins,Teven,Jenkins,Back,,Out,Back,,DNP,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CLE,1,00-0040579,LB,Carson Schwesinger,Carson,Schwesinger,,,Full,Shoulder,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,CLE,1,00-0041073,C,Parker Brailsford,Parker,Brailsford,Thumb,,Questionable,Thumb,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,DAL,1,00-0033093,DT,Jonathan Bullard,Jonathan,Bullard,,,Full,Groin,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,DAL,1,00-0037563,RB,Malik Davis,Malik,Davis,Hip,,Out,Hip,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,DAL,1,00-0038547,TE,Luke Schoonmaker,Luke,Schoonmaker,,,DNP,Not injury related - personal matter,,DNP,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,DAL,1,00-0040017,T,Ajani Cornelius,Ajani,Cornelius,,,Full,Knee,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,DEN,1,00-0038976,WR,Marvin Mims Jr.,Marvin,Mims,,,Full,Foot,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,DET,1,00-0038660,LB,Trevor Nowaske,Trevor,Nowaske,,,Full,Knee,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,DET,1,00-0038820,S,Christian Izien,Christian,Izien,Groin,,Questionable,Groin,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,DET,1,00-0039396,DT,Mekhi Wingo,Mekhi,Wingo,,,Full,Groin,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,DET,1,00-0039660,S,Thomas Harper,Thomas,Harper,,,Full,Ankle,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,DET,1,00-0039862,CB,Ennis Rakestraw Jr.,Ennis,Rakestraw,,,Full,Ankle,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,DET,1,00-0041441,DE,Derrick Moore,Derrick,Moore,,,Full,Hamstring,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,DET,1,00-0041442,LB,Jimmy Rolder,James,Rolder,,,Full,Hamstring,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,DET,1,00-0041445,CB,Keith Abney II,Keith,Abney,,,Full,Hand,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,GB,1,00-0033109,DT,Javon Hargrave,Javon,Hargrave,,,Limited,Knee,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,GB,1,00-0036551,G,Aaron Banks,Aaron,Banks,Knee,,Questionable,Knee,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,GB,1,00-0037075,DT,Devonte Wyatt,Devonte,Wyatt,,,Limited,Ankle,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,GB,1,00-0037817,T,Zach Bako-Bewele,Zach,Bako-Bewele,Knee,,Questionable,Knee,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,GB,1,00-0039812,LB,Ty'Ron Hopper,Ty'Ron,Hopper,Achilles,,Questionable,Achilles,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,GB,1,00-0039904,T,Jordan Morgan,Jordan,Morgan,,,Full,Knee,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,GB,1,00-0040010,LB,Barryn Sorrell,Barryn,Sorrell,,,Limited,Foot,,Limited,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,GB,1,00-0040016,DT,Warren Brinson,Warren,Brinson,Calf,,Out,Calf,,DNP,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,HOU,1,00-0032071,T,Trent Brown,Trenton,Brown,,,Full,Wrist,,Full,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,HOU,1,00-0039108,DE,Will Anderson Jr.,William,Anderson,,,DNP,Not injury related - resting player,,DNP,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,HOU,1,00-0041440,DT,Kayden McDonald,Kayden,McDonald,,,DNP,Ankle,,DNP,2026-09-24 08:03:14.468368,nflreadpy
2026,REG,REG,HOU,1,00-0041465,LB,Wade Woodaz,Wade,Woodaz,,,Full,Thumb,,Full,2026-09-24 08:03:14.468368,nflreadpy
